25
56.23	11.78	-124.63	1.67	-105.58	-118.17	-82.82	-110.2	166.99	141.43	131.48	99.21	-109.61	-50.29	3.46	-150.64	45.63	-182.09	-55.21	-144.86	-170.9	94.77	57.95	113.21	30.62
-42.95	84.61	77.52	160.06	-145.97	-123.14	-2.03	7.18	-42.11	-100.54	155.73	-105.44	-11.61	-47.06	101.19	171.25	-191.66	-98.68	-14.98	-104.5	-172.26	-104.88	-129.6	-32.58	-92.3
199.2	124.04	-1.89	-78.59	-133.08	-194.15	139.66	7.91	-54.08	12.07	150.52	-154.52	-142.28	173.72	134.12	-25.17	-137.63	172.26	-136.52	-81.49	100.96	-193.79	-7.07	-28.73	3.13
27.74	-41.96	77.26	53.18	-134.85	-21.92	163.32	-172.44	-143.08	-99.58	63.93	-151.75	-54.31	64.5	151.41	140.55	-85.37	113.05	-23.44	-159.43	-3.4	-58.62	27.89	166.75	-154.27
-49.11	-65.92	-48.57	33.73	-139.27	-137.55	-77.39	17.64	132.07	107.53	-167.33	123.3	-27.68	117.11	150.07	98.41	111.87	69.23	161.48	11.39	-115.95	-7.69	176.11	-93.09	189.22
111.16	-119.35	-123.56	-113.2	5.61	162.15	61.65	-165.36	84.31	-101.83	181.06	182.74	4.56	-92.66	54.8	-171.18	-189.42	-139.72	-100.08	156.37	-84.57	69.95	-121.91	-99.27	18.63
-87.9	100.21	-172.88	-170.82	170.7	-173.1	54.56	55.43	-140.23	-48.85	122.75	126.35	-157.73	9.4 -125.7	-75.13	-151.7	-60.75	-87.52	42.46	-111.01	-12.91	195.23	-94.74	-30.88
-34.14	-161.0	-24.67	-179.28	-126.62	31.22	-103.05	-88.64	103.39	-111.58	136.02	-174.86	-83.24	147.04	-48.01	-128.96	-112.92	137.16	-155.02	42.28	95.15	-35.38	-62.95	32.12	118.58
-185.12	-125.24	105.6	147.97	192.45	-18.54	33.48	58.09	-77.46	-58.86	13.47	172.42	67.03	-138.31	-64.01	181.55	-55.38	-56.04	-104.74	10.75	195.61	-25.98	-96.37	-20.55	94.52
59.47	-63.99	154.77	89.09	-153.15	-87.24	-26.14	-167.67	85.47	-176.13	194.45	-25.65	-155.79	103.61	30.14	-106.1	141.15	-15.88	137.01	174.82	-187.84	88.01	140.06	-29.68	122.85
164.16	23.11	-151.3	119.45	27.56	-47.3	-123.11	-182.41	-166.72	166.66	173.44	-155.84	-3.94	-170.13	150.67	75.69	161.38	44.95	-33.97	157.84	-159.52	-97.52	115.56	-55.75	-159.32
-34.58	-172.24	-141.38	-145.52	104.46	-45.91	-37.09	-85.5	135.91	-197.27	105.03	-121.55	-139.1	-175.06	-76.5	77.12	-135.29	39.14	-98.09	140.23	-193.24	-34.79	-104.82	-191.1	117.2
42.38	-9.89	50.55	12.88	-183.39	-183.45	-189.46	-44.66	-190.99	91.44	67.24	95.84	-85.5	-143.63	100.71	-113.01	-169.36	160.56	-157.73	-111.85	-21.06	-155.57	41.07	51.15	-143.07
-4.83	-34.32	-154.61	-53.24	174.06	52.62	66.11	6.54	56.33	-79.49	66.84	-16.23	-121.97	87.69	-133.23	-84.73	50.19	162.71	106.2	16.11	79.14	21.32	157.83	110.42	-77.07
-59.86	-151.06	-180.21	-82.73	26.41	9.43	-99.65	20.32	164.79	-167.23	7.62	154.42	-103.55	21.7	168.43	63.56	-47.9	-112.04	-47.63	159.2	-19.96	-15.14	-39.72	-107.16	-58.36
-126.1	-14.54	72.4	91.17	61.45	-146.43	-169.64	13.09	-11.43	110.04	55.28	59.47	-182.84	-0.77	-185.81	-88.36	-172.56	-32.38	-178.03	84.25	-73.05	23.3	154.68	196.82	-131.66
97.42	157.69	-43.37	-117.14	78.35	64.86	-171.12	-41.0	-172.82	-175.72	-86.28	-69.73	33.69	-183.54	6.79	-116.46	34.87	154.66	-11.14	-41.05	-106.78	73.19	-28.23	-15.17	-79.86
137.66	22.12	175.72	-169.8	52.59	190.7	-81.03	-175.43	94.94	194.96	84.99	-72.15	-131.63	33.15	118.66	-160.11	151.5	53.27	4.04	-185.07	104.43	-43.65	-158.09	43.18	-198.75
82.75	-160.67	85.29	172.44	-87.99	182.69	-101.91	169.36	0.66	-49.39	-109.48	-95.69	189.13	120.09	61.16	-127.16	28.19	-170.69	-5.27	131.31	-193.22	182.56	-67.71	-119.02	-92.71
17.72	-119.46	101.16	71.08	3.73	-11.48	77.13	126.12	-4.38	-4.74	84.94	-189.84	146.47	39.96	-76.53	-82.77	60.9	-73.5	25.14	101.53	-128.35	-152.77	130.33	-107.55	130.64
196.08	-23.48	5.52	-171.73	-160.82	-68.5	78.6	89.35	-138.61	191.38	119.24	-58.59	170.15	-132.74	-181.95	10.86	-186.66	0.71	64.84	74.69	55.82	76.58	98.22	-119.62	159.77
-57.21	126.19	-56.39	-173.46	-199.92	174.09	143.42	183.57	90.95	148.26	56.6	-162.6	-104.64	47.73	107.96	-135.54	31.84	112.84	-39.89	74.07	-133.83	68.99	126.63	53.58	45.88
105.16	164.35	-6.66	-192.92	-178.67	-14.71	89.8	-58.47	-114.98	-173.59	-162.45	165.1	156.94	24.63	147.02	94.75	-23.18	-32.91	-38.06	-80.03	-54.9	21.46	101.38	145.36	-107.64
98.12	14.0	-115.45	-2.03	156.03	7.44	101.91	0.59	-163.68	-96.19	-73.17	-62.2	92.18	172.49	-93.66	58.28	-18.67	-195.5	-184.59	-130.42	-103.31	117.93	10.42	-84.28	33.31
121.9	-110.44	23.34	-175.47	-183.06	15.09	11.55	27.28	72.42	-144.12	29.94	96.5	-102.69	124.64	170.66	-139.27	8.14	112.81	-5.29	-104.18	-1.36	-132.98	119.39	190.86	-71.64
